Ticker,Name
MMM,3M
AOS,A. O. Smith
ABT,Abbott Laboratories
ABBV,AbbVie
ABMD,Abiomed
ACN,Accenture
ATVI,Activision Blizzard
ADM,ADM
ADBE,Adobe
AAP,Advance Auto Parts
AMD,Advanced Micro Devices
AES,AES Corp
AFL,Aflac
A,Agilent Technologies
APD,Air Products & Chemicals
AKAM,Akamai Technologies
ALK,Alaska Air Group
ALB,Albemarle Corporation
ARE,Alexandria Real Estate Equities
ALGN,Align Technology
ALLE,Allegion
LNT,Alliant Energy
ALL,Allstate Corp
GOOGL,Alphabet (Class A)
GOOG,Alphabet (Class C)
MO,Altria Group
AMZN,Amazon
AMCR,Amcor
AEE,Ameren Corp
AAL,American Airlines Group
AEP,American Electric Power
AXP,American Express
AIG,American International Group
AMT,American Tower
AWK,American Water Works
AMP,Ameriprise Financial
ABC,AmerisourceBergen
AME,Ametek
AMGN,Amgen
APH,Amphenol
ADI,Analog Devices
ANSS,Ansys
ANTM,Anthem
AON,Aon
APA,APA Corporation
AAPL,Apple
AMAT,Applied Materials
APTV,Aptiv
ANET,Arista Networks
AJG,Arthur J. Gallagher & Co.
AIZ,Assurant
T,AT&T
ATO,Atmos Energy
ADSK,Autodesk
ADP,Automatic Data Processing
AZO,AutoZone
AVB,AvalonBay Communities
AVY,Avery Dennison
BKR,Baker Hughes
BLL,Ball Corp
BAC,Bank of America
BBWI,Bath & Body Works Inc.
BAX,Baxter International
BDX,Becton Dickinson
BRK.B,Berkshire Hathaway
BBY,Best Buy
BIIB,Biogen
BIO,Bio-Rad Laboratories
TECH,Bio-Techne
BLK,BlackRock
BK,BNY Mellon
BA,Boeing
BKNG,Booking Holdings
BWA,BorgWarner
BXP,Boston Properties
BSX,Boston Scientific
BMY,Bristol Myers Squibb
AVGO,Broadcom
BR,Broadridge Financial Solutions
BRO,Brown & Brown
BF.B,Brown–Forman
CHRW,C. H. Robinson
CDNS,Cadence Design Systems
CZR,Caesars Entertainment
CPB,Campbell Soup
COF,Capital One Financial
CAH,Cardinal Health
KMX,CarMax
CCL,Carnival Corporation
CARR,Carrier Global
CTLT,Catalent
CAT,Caterpillar
CBOE,Cboe Global Markets
CBRE,CBRE
CDW,CDW
CE,Celanese
CNC,Centene Corporation
CNP,CenterPoint Energy
CDAY,Ceridian
CERN,Cerner
CF,CF Industries
CRL,Charles River Laboratories
SCHW,Charles Schwab Corporation
CHTR,Charter Communications
CVX,Chevron Corporation
CMG,Chipotle Mexican Grill
CB,Chubb
CHD,Church & Dwight
CI,Cigna
CINF,Cincinnati Financial
CTAS,Cintas Corporation
CSCO,Cisco Systems
C,Citigroup
CFG,Citizens Financial Group
CTXS,Citrix Systems
CLX,Clorox
CME,CME Group
CMS,CMS Energy
KO,Coca-Cola Company
CTSH,Cognizant Technology Solutions
CL,Colgate-Palmolive
CMCSA,Comcast
CMA,Comerica
CAG,Conagra Brands
COP,ConocoPhillips
ED,Consolidated Edison
STZ,Constellation Brands
CPRT,Copart
GLW,Corning
CTVA,Corteva
COST,Costco
CTRA,Coterra
CCI,Crown Castle
CSX,CSX
CMI,Cummins
CVS,CVS Health
DHI,D. R. Horton
DHR,Danaher Corporation
DRI,Darden Restaurants
DVA,DaVita
DE,Deere & Co.
DAL,Delta Air Lines
XRAY,Dentsply Sirona
DVN,Devon Energy
DXCM,DexCom
FANG,Diamondback Energy
DLR,Digital Realty Trust
DFS,Discover Financial Services
DISCA,Discovery (Series A)
DISCK,Discovery (Series C)
DISH,Dish Network
DG,Dollar General
DLTR,Dollar Tree
D,Dominion Energy
DPZ,Domino's Pizza
DOV,Dover Corporation
DOW,Dow
DTE,DTE Energy
DUK,Duke Energy
DRE,Duke Realty Corp
DD,DuPont
DXC,DXC Technology
EMN,Eastman Chemical
ETN,Eaton Corporation
EBAY,eBay
ECL,Ecolab
EIX,Edison International
EW,Edwards Lifesciences
EA,Electronic Arts
LLY,Eli Lilly & Co
EMR,Emerson Electric Company
ENPH,Enphase Energy
ETR,Entergy
EOG,EOG Resources
EFX,Equifax
EQIX,Equinix
EQR,Equity Residential
ESS,Essex Property Trust
EL,Estée Lauder Companies
ETSY,Etsy
RE,Everest Re
EVRG,Evergy
ES,Eversource Energy
EXC,Exelon
EXPE,Expedia Group
EXPD,Expeditors
EXR,Extra Space Storage
XOM,ExxonMobil
FFIV,F5 Networks
FB,Facebook
FAST,Fastenal
FRT,Federal Realty Investment Trust
FDX,FedEx
FIS,Fidelity National Information Services
FITB,Fifth Third Bancorp
FRC,First Republic Bank
FE,FirstEnergy
FISV,Fiserv
FLT,Fleetcor
FMC,FMC Corporation
F,Ford
FTNT,Fortinet
FTV,Fortive
FBHS,Fortune Brands Home & Security
FOXA,Fox Corporation (Class A)
FOX,Fox Corporation (Class B)
BEN,Franklin Resources
FCX,Freeport-McMoRan
GPS,Gap
